class,review_text
1,"As an experienced youth minister and religion teacher I found this book to be very inadequate. This isn't a book for adolescents on theology, it is a book with adolescent theology. It has not quite reached maturity. The answers show a lack of understanding by the author in basic moral and sacramental theology. The book is also selective in quoting the CCC. I will disagree with other reviews suggesting Mr. Pinto said aborted babies might go to hell, what he did do in that question was give the impression there is a limbo."
2,"I have read quite a few mushroom books in my course of book reviewing, but I would have to say this is one of the best. This book has great coverage on propagation, cultivation, identification and collecting. I like the decision to leave out mushrooms of unknown edibility because it makes the book much more manageable.The photography is excellent. I liked the addition of habitat shots of where certain mushrooms grow. This would surely help anyone who is a collector.This book stayed on track and didn't try to be all things to all people. For instance, in the cultivation section, they tell you what to read for more information depending on the type of mushroom.This book has great information on all levels and is helpful guide for the novice to expert gardener."
1,"I am a big fan of this children's story, so the movie was a major disappointment to me. I hated the changes that were made to the story, and I didn't care for the added violence. The story is a good one as is, and didn't need added movie violence. The changes that were made were not necessary and annoying."
2,I purchased this cookbook the year it was first published in 1972. I had just gotten married and needed some variety in my cooking. It covers everything - all sorts of ethnic recipes my family thought were delicious. I became an instant gourmet.
2,"This is a collection of the very first season of Monty Python's Flying Circus. Included in this boxed set are: Famous Deaths, Man with Three Buttocks, Flying Sheep, Nudge Nudge Wink Wink, Undressing in Public, Confuse-A-Cat, and Silly Job Interview and that's just the highlights!These comedy shows aired in Great Britain in 1969 and the humor holds up astonishingly well. These guys are just as odd now as they were when they first started and these comic riffs rely on universally funny things such as nudity, death, humiliation, insanity, TV programming, government and history. It's a bit like a medieval morality play gone wrong with young men dressing as old women. Really cheesy sets and totally un-special effects combine with inspired writing and timing to produce something that became a cult classic."
1,Had not read F S Fitzgerald previously and was expecting a better read. The character development was great but found the story line lacking and the whole of it bland in the end.
1,I have always loved V Tech phones. This one is cheap and I do mean cheap. The battery doesn't last even after being on the base all day. It is a great looking phone but I need to use it not just look at it.
1,Very boring. Bland new age techno without any redeeming qualities. An appropriate place for this to be played would be in an elevator or perhaps convalescence home.
1,"Never did the phrase 'one hit wonder' apply more than it does here. ""F**k It (I Don't Want You Back)"", is this album's only shining star. The rest of the tracks are just copy cats, with painfully poor lyrics & absolutely no fluent melodies or rhythms at all. The truly sad part is, Eamon shouldn't have to end his career after just one song. He actually has a nice singing voice, but the problem is he has way to much artistic freedom, which unfortunatley has been the downfall of many talented new artists. Had Jive only taken more interest & hired gifted producers & song writers, things might have been different. Say hello to 2004's Lumidee, but also remember to say a quick goodbye very shortly thereafter."
1,"Shame on me for thinking I had gotten a great deal when I ordered this case. Nowhere on the product description does it state that there is no plastic protection for the video screen - it's just a square hole in the metal case. Having always used a leather case, I just assumed ALL cases would have this added protection. While I know I could purchase separate plastic pieces to serve the purpose.........why should I have to? Don't waste your money. This is cheap, tacky, and a rip-off......even at less than $5.00."
2,"The third coming of the Foo Fighters is at hand! Be afraid, be very afraid. Although the album isn't going to be the end of the world, it is still excellent. With songs such as Live-in Skin, Breakout, and Stacked Actors rocking like old time Foo Fighters, you don't have to worry about a soft, and sappy album from the Foo Fighters. But there are still several soft songs, but in those songs (New Year, MIA, Ain't it the Life)the band still finds a way to make the song rock. With Dave Grohl's new and improved vocals, the Foo Fighters have returned with their most impressive album yet, with songs ripping through the walls with screams and tearing guitar and drum tracks and songs with pleasant melodies and beautiful vocals. Congratulations Dave, Nate, Taylor, and Chris, you have now made your mark as one of the top rock bands of the decade."
2,"I rented this movie on a snowy day along with several other films and was pleasantly surprised. I was looking for something light and fun and that is exactly what I got.Jason Biggs, who played the charming but goofy lead in American Pie, is Paul a guy who moves from the mid-west to New York City to go to College and is immeadiately overwhelmed by ""city"" life. His roomates are horrible and only add to his inability to fit in.In class Paul meets Dora, Mena Suvari - who was also in American Pie as well as American Beauty. As Paul gets to know Dora he begins to see that life in the big city is not all bad. Jason Biggs, Mena Suvari and Greg Kinnear were all good in this movie - the plot was not as strong as most of Amy Heckerling's past high school type comedy's such as Fast Time or Clueless but this film was still cute.Loser would make a cute date film or would be good when you are looking for something light."
1,"I agree with ""Huntsmen"". $600 for a bunch of dusty old Doctor Who eps? No way.For that kind of money, I would want THE ENTIRE SERIES on DVD. You can get 7 years of TNG for about that? Same for X-files."
1,"What is this? Some tracks taken from old records! They should put here some exclusives, all this tracks are available on records of those artist."
2,"I ordered this at the request of my husband. All I can say is it works, so we are happy with it. It did take a little longer to arrive than our Amazon orders typically do though."
2,This DVD comes out of Korea and has Korean subtitles that can be turned off by going to the DVD setup. The picture quality was quite good compared to the old VHS movie I use to have. For the price this is a good by. DVD cover art is in Korean and some English and might bother some people but if you look online you can find the cover art in English and download it for free same as the DVD label on the Disc.
1,"I am one person who did not like ""Does He Love You"", Reba's first duet with Linda Davis. Here we have another one and its even worse!!! The rest of the album is just more of Reba's pop stylings which have really gotten old!! I did enjoy ""Forever Love"" but I didn't like anything else on this."
1,"This filter is not, in my estimation, any good. It leaves a sediment , and the end product, the coffee, tastes terrible. Use paper filters insted for a great cup of coffee."
1,I bought this set opened every pack out of 36 packs not one Emmitt Smith rookie card it was a waste of 20 dollars
1,This product will not charge an ipod nano that was purchased this Christmas. The manufacturer's website is not accessible and their toll free number for customer service tells you to go to their website for help. This must be an old product that is not compatible to the new ipod's even though the product description says it is. Be aware of this if you are considering purchasing this product.
1,"Tap one of these the wrong way and it explodes. My petite 10-years old daughter shattered one by knocking on the counter---not dropping it, but just setting down a little roughly. After the 20 minutes it took me to clean up the shattered glass, I broke another one by dropping it less than two inches onto a coffee cup. And these two were just many in a long line of disastrous breaks we've experienced with these modern Duralex glasses that we've had for about two years now.The Duralex glasses that we got 21 years ago were great, but these new ones are nothing like the old."
1,"Really, Do not bother! A great film reproduced by a flim-flam DVD company. I was going to show this to my college students this evening. I don't even know if they could endure it. I certainly can't. Search for a used VHS copy. This hack job is terrible!"
2,"This 6-hour documentary offers a great range of perspectives on the Hurricane Katrina experience. While it builds useful context and explains many of the issues, some of the individuals who share commentary throughout seem overly extreme in their views; they share ""information"" that is interesting in that it informs their views, but is factually questionable. It would be hard to watch the whole thing straight through, but most viewers will find sections that answer their own questions about Hurricane Katrina. You'll almost certainly be left with more questions than you had when you started, but that's a good thing."
1,Item works but is much slower than anticipated. I will need to upgrade to a faster adapter.
