class,review_title
1,Adolescent theology
2,A Great Guide for the Mushroom Lover
1,"Great book, horrible movie"
2,The BEST all-around cookbook I have ever had!
2,"Daft, Daffy, but Deft"
1,Working Class
1,Cute phone bad battery
1,Mediocre and Unimaginative
1,I Don't Want You Back by Eamon
1,Cheap and tacky - won't protect your screen.
2,The new album from Foo Fighters - - extreme Foo for Thought
2,Cute and entertaining
1,Yep. Way too expensive.
1,Sssuuuccckkksss!!!!1
2,It works
2,Korean DVD
1,"JUST WHAT WE NEEDED, ANOTHER DUET WITH LINDA DAVIS!"
1,Coffee Pot Filter
1,Emmitt Smith
1,This product will not charge new ipod nano
1,Not what they used to be
1,Worst DVD copy ever!
2,Gives Great Perspective
1,TRENDnet54Mbps Wireless G USB Adapter
2,"Great book, a must for a history buff"
1,Great looks and ergonomics but end result is nada
2,Truly Wonderful!
2,Emotional & touching
2,Very Helpful
1,I've read better articles in the Weekly World News
2,"Lukowski - that's my family name, Thank you Mr. McNally !"
1,Good sound but poor connectivity and battery life
2,Great set of Skewers
2,Nice Size For A Purse.
2,this is a classic
1,A dissapointment
1,OH !! Where are the lights !!!
1,Not so good...
2,Great Book Along With Edwin Bearss' Maps
2,Full Circle is the best of Ms. Young's women's fiction yet!
2,An Excellent Read!
1,Fun!
2,Snowman is an Island
1,These are NOT the Same Pads as Before!
2,Superb book by a powerful writer
2,best chants ever
1,Very annoying heroine!!
1,Not worth the purchase
1,Bad bad bad
2,Great product
1,4-in-1 Bath Station
2,Heavy duty as promised
1,Product Failed During First Use
1,I feel cheated!
1,Poorly Made Handle
1,Good for about six months/no customer service
2,Surprised
1,Actually 0 stars
2,cd
2,Used with 1st gen BP200 (made in 2002)
2,Stuffed Sausage
1,a poor choice!
2,"Not a Costner fan, but good movie"
2,Exactly what it claims to be.
2,Great start to my day
1,The product seemed as if it had been used.
2,I really enjoy Walt Russell's writing
1,Vastly Disappointing
1,Too small for adult use
1,"Grim,puerile fantasy"
1,The Allergy to Vista Continues
2,YUM
2,The Perfect Incentive
1,"Nice graphics, few choices"
1,Something Fishy?
2,"Does what it's supposed to do, and does it well"
2,Great Series!!
1,Makes me long for a wind up alarm clock.
1,This mess was NOT Sex & The City
1,Didn't get to use it
2,compact
1,I want the time wasted on this book Back!
1,SUCKS!
1,No stars
2,Why doesn't Clay get played anymore!!!
1,The glass feeder broke before first use!
2,A keeper!
1,Not worth the money
2,worth while movies
2,A Must Watch DVD
1,Don't waste your money
2,"Love, love, love this."
2,Book Review
1,just slightly disappointed
1,Mush Martians
1,Not appropriate for grade schoolers
1,Terrible
2,BETTER THAN OLD RABBIT EARS
1,"5 Stars for the show itself, minus 3 stars for the glaring cuts"
1,"STOP! Buy a REAL ITALIAN ONE, Not this knockoff!!"
1,"Sound and 'fury', sort of, signifying nothing"
2,VERY NICE WATCH!
2,Loving this watch.
1,I've trashed the product...
2,Does the job!
1,Boring. Just boring
1,boring & pretentious crap!
1,don't buy this
2,A must read for TA
2,Beautiful
2,"Coulter: informative, but too shrill"
1,"Much, much worse than any other Shrek movie"
2,Good for Motivation
1,Lackluster Wrestlemania
1,Holes...
2,My fourth baby doll!
1,Just another book in a sea of many
1,2 3/4 stars
1,Not enough light
2,good value.
1,Fair to average
2,A different kind of animal
1,Angry customer
2,great heater
2,wonderful
2,SWEET
1,Trellises and Arbors
2,Why wasn't the horse in the credits ?
1,Stray Cats CD
1,Why not just read the original?
2,Wonderful Read!
2,Excellent product
2,Financial Corruption in Modern Wall Street
2,A great read
1,Piece of junk.
2,funeral dress'd
2,We've been waiting a long time for this
2,Good Combination!!
1,boring
1,Great idea doesn't go anywhere
2,Awesome and Awe inspiring
1,Not as advertised!!!
1,Not a knife sharpener
1,Single Largest Group of Abusers of Children
1,Poor instruction
1,Not comfortable using it
2,nuvi 350 review
1,A sad case of poor scholarship
2,I haven't received my staff
2,A good Mystery with a solid storyline!
1,"Great for those who are either perfect, or have ADD"
2,Coaching Successfully
1,As usual there is a stream after the widely accepted.
2,Good Bed for the Price!!
2,Best ever audio book
2,La Sabiduria
1,Missing upgrade
2,It's Antigone!
2,"A straight-forward, useful book on health"
2,Humanscale system
2,Friendly Felines
2,An Evening With Diahann Carroll -- an amazingly talented woman
2,10/10 Single player Game of the year
2,Renters Beware!
1,Fed up
2,I love this movie!!!
1,Depends which spindles you buy...
2,"A cute little book, but almost like an echo of ""Love in the time....."""
1,Too perforated!
1,Not so good
1,It can't get much worse!!
1,A rehash of user's guide + the obvious.
2,This is the best movie ever !!!!!
1,DRM Hell - Doesn't Work Under Multi-User Environments!!!!
2,Takes Me Back
1,Disappointing
2,Cut One - WOW!
1,Dented
2,The screen's best Holmes
2,Damned if you don't like it
2,Solid first album
1,disappointed
2,Bring It On......A fun night for Middleschool girls and moms!
1,Awesome show - Lousy Amazon Delivery
